epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.34724,3.27708,4.76224,4.19473,0.00333,0.33333,0.00268,0.00037,3.33195,3.97086,4.15933,0,0,0
2,1.77251,3.22306,4.47477,4.26998,0.002,0.33333,0.00196,0.00061,3.33195,3.97086,4.15944,1.11689e-05,1.11689e-05,1.11689e-05
3,2.19008,3.65604,4.54528,4.26284,0.00215,0.33333,0.00211,0.00065,3.33195,3.97086,4.1597,1.13356e-05,1.13356e-05,1.13356e-05
