epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.40396,1.7302,3.39138,1.72182,0.46153,0.10531,0.06656,0.02668,1.74413,3.06347,1.86911,0.000470453,0.000470453,0.000470453
2,15.4989,1.7026,2.97815,1.76266,0.20067,0.25059,0.14853,0.05633,1.94853,2.68051,1.96213,0.00092804,0.00092804,0.00092804
3,22.8189,1.87801,2.91178,1.83667,0.21568,0.24839,0.13904,0.05269,2.01979,3.3075,2.10932,0.00136676,0.00136676,0.00136676
4,29.7904,1.87711,2.84579,1.8753,0.47216,0.1746,0.20309,0.07388,1.99543,3.5156,2.07165,0.00134412,0.00134412,0.00134412
5,37.017,1.81594,2.78184,1.88482,0.55642,0.26541,0.2134,0.08111,1.92242,2.86492,1.9815,0.00131582,0.00131582,0.00131582
6,44.0512,1.76567,2.63689,1.80729,0.27097,0.34139,0.26898,0.12153,1.82666,2.49135,1.93068,0.00128753,0.00128753,0.00128753
7,51.4644,1.76909,2.5708,1.80232,0.2989,0.34921,0.27576,0.12086,1.77819,2.37694,1.87852,0.00125923,0.00125923,0.00125923
8,58.3981,1.7442,2.54818,1.79944,0.29033,0.34412,0.25728,0.1189,1.79574,2.49366,1.85971,0.00123094,0.00123094,0.00123094
9,65.3794,1.6986,2.46403,1.78227,0.42791,0.293,0.29587,0.13697,1.75422,2.33395,1.82975,0.00120265,0.00120265,0.00120265
10,72.408,1.65985,2.42085,1.75255,0.38114,0.34251,0.3545,0.14943,1.74643,2.15662,1.85363,0.00117435,0.00117435,0.00117435
11,79.9904,1.63913,2.32247,1.73308,0.43915,0.31014,0.34855,0.15553,1.72537,2.1717,1.85983,0.00114606,0.00114606,0.00114606
12,87.8876,1.62043,2.26259,1.71678,0.42333,0.42285,0.37444,0.17684,1.67363,2.10777,1.81209,0.00111776,0.00111776,0.00111776
13,95.4392,1.62087,2.20244,1.69036,0.45865,0.35556,0.35011,0.18377,1.68271,2.15028,1.79057,0.00108947,0.00108947,0.00108947
14,103.298,1.55371,2.11158,1.64851,0.49826,0.43785,0.45716,0.23745,1.59753,1.94814,1.69561,0.00106118,0.00106118,0.00106118
15,110.697,1.57447,2.10871,1.64796,0.48156,0.39712,0.46852,0.23008,1.63109,1.86728,1.71367,0.00103288,0.00103288,0.00103288
16,117.907,1.55494,2.06111,1.63474,0.42639,0.50152,0.46899,0.23801,1.56026,1.89978,1.65554,0.00100459,0.00100459,0.00100459
17,124.962,1.56181,2.04711,1.64461,0.50172,0.42927,0.46817,0.24673,1.54591,1.82804,1.68188,0.000976293,0.000976293,0.000976293
18,132.572,1.53337,2.03198,1.63493,0.45302,0.4104,0.41537,0.20442,1.60951,1.95893,1.74885,0.000947999,0.000947999,0.000947999
19,141.085,1.53789,1.98551,1.59961,0.49341,0.4224,0.44949,0.22817,1.52112,1.81099,1.63294,0.000919704,0.000919704,0.000919704
20,148.202,1.47628,1.90081,1.57494,0.48802,0.50194,0.4788,0.26544,1.48838,1.76086,1.6281,0.00089141,0.00089141,0.00089141
21,155.765,1.52568,1.98669,1.60357,0.47527,0.51713,0.49179,0.26783,1.50838,1.70318,1.629,0.000863116,0.000863116,0.000863116
22,162.789,1.45831,1.92878,1.56778,0.5845,0.50053,0.54993,0.30632,1.50941,1.63576,1.65447,0.000834822,0.000834822,0.000834822
23,169.678,1.45159,1.85907,1.56803,0.53355,0.48048,0.5271,0.29269,1.47683,1.67399,1.63647,0.000806528,0.000806528,0.000806528
24,176.973,1.44161,1.83867,1.55896,0.54139,0.51184,0.53694,0.29654,1.48314,1.66326,1.61413,0.000778233,0.000778233,0.000778233
25,184.646,1.41749,1.76003,1.54894,0.69192,0.43554,0.5481,0.30184,1.45847,1.65621,1.57662,0.000749939,0.000749939,0.000749939
26,191.762,1.43709,1.75018,1.54125,0.56762,0.55729,0.57945,0.32928,1.46332,1.52776,1.58147,0.000721645,0.000721645,0.000721645
27,199.604,1.39228,1.72955,1.49788,0.60311,0.5147,0.58232,0.32542,1.4847,1.56181,1.60554,0.000693351,0.000693351,0.000693351
28,207.788,1.37232,1.69741,1.50964,0.58823,0.57938,0.60404,0.35644,1.45814,1.48482,1.58035,0.000665057,0.000665057,0.000665057
29,215.081,1.37925,1.70419,1.5109,0.59073,0.56231,0.58284,0.34756,1.40272,1.54843,1.54024,0.000636762,0.000636762,0.000636762
30,222.108,1.33498,1.62871,1.46187,0.64504,0.58444,0.62036,0.368,1.4054,1.44103,1.55494,0.000608468,0.000608468,0.000608468
31,229.246,1.34891,1.60509,1.46495,0.62346,0.59156,0.63267,0.35077,1.44528,1.51955,1.58757,0.000580174,0.000580174,0.000580174
32,237.178,1.35437,1.57233,1.47687,0.63305,0.57943,0.61065,0.34338,1.48282,1.49278,1.63198,0.00055188,0.00055188,0.00055188
33,244.738,1.32851,1.58313,1.46814,0.6253,0.65912,0.64219,0.37634,1.38353,1.38503,1.5257,0.000523586,0.000523586,0.000523586
34,252.035,1.33543,1.55292,1.45349,0.69753,0.54962,0.63018,0.37012,1.37269,1.42206,1.51093,0.000495291,0.000495291,0.000495291
