epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,259.67,1.31808,1.54297,1.45785,0.73198,0.57436,0.66799,0.39279,1.39264,1.37881,1.51707,0.000466997,0.000466997,0.000466997
36,267.158,1.29328,1.47088,1.43288,0.67452,0.57358,0.63658,0.37367,1.40547,1.42904,1.53772,0.000438703,0.000438703,0.000438703
37,274.346,1.25777,1.4816,1.42619,0.68646,0.61032,0.67456,0.39993,1.39834,1.34884,1.54653,0.000410409,0.000410409,0.000410409
38,281.517,1.27646,1.45256,1.4125,0.71497,0.56401,0.65813,0.3956,1.37553,1.36372,1.51577,0.000382115,0.000382115,0.000382115
39,288.522,1.27024,1.48736,1.41663,0.75139,0.60094,0.6909,0.42261,1.32798,1.29652,1.47938,0.00035382,0.00035382,0.00035382
40,295.992,1.23483,1.40951,1.4019,0.76619,0.57401,0.67908,0.41752,1.34328,1.30922,1.50397,0.000325526,0.000325526,0.000325526
41,303.72,1.22667,1.30678,1.40932,0.67121,0.65022,0.68747,0.41552,1.33828,1.29424,1.47154,0.000297232,0.000297232,0.000297232
42,313.193,1.1869,1.24791,1.37482,0.65577,0.61402,0.65945,0.40267,1.3553,1.33638,1.50092,0.000268938,0.000268938,0.000268938
43,321.693,1.17701,1.19386,1.37959,0.72076,0.62123,0.68624,0.41265,1.33648,1.29348,1.48484,0.000240644,0.000240644,0.000240644
44,331.157,1.1242,1.14662,1.364,0.71433,0.67336,0.71067,0.45098,1.29505,1.21632,1.44252,0.000212349,0.000212349,0.000212349
45,340.659,1.13179,1.09369,1.33646,0.74728,0.64317,0.71348,0.44478,1.29408,1.21475,1.44336,0.000184055,0.000184055,0.000184055
46,349.989,1.11493,1.07915,1.32823,0.75205,0.63997,0.70603,0.43954,1.2992,1.2253,1.46368,0.000155761,0.000155761,0.000155761
47,357.115,1.09058,1.05096,1.32495,0.74196,0.65886,0.71216,0.45574,1.27204,1.19535,1.44196,0.000127467,0.000127467,0.000127467
48,364.197,1.08676,1.06119,1.31262,0.72547,0.6705,0.71107,0.45402,1.26912,1.19593,1.4359,9.91726e-05,9.91726e-05,9.91726e-05
49,371.481,1.06593,1.0056,1.30772,0.78176,0.63865,0.71111,0.44948,1.27743,1.19793,1.44277,7.08784e-05,7.08784e-05,7.08784e-05
50,378.832,1.05874,1.01619,1.31229,0.77108,0.6393,0.71588,0.45468,1.27143,1.19084,1.43641,4.25842e-05,4.25842e-05,4.25842e-05
