epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8816,1.76796,3.84159,1.86093,0.16279,0.2279,0.12294,0.05167,1.75559,2.87097,1.87459,0.000473375,0.000473375,0.000473375
2,25.9948,1.93492,3.5809,2.03723,0.24254,0.20028,0.12504,0.04569,2.12704,3.35306,2.29117,0.000855687,0.000855687,0.000855687
3,37.6774,2.05848,3.51651,2.16265,0.16295,0.23576,0.10775,0.04414,2.04169,4.02481,2.16983,0.00114369,0.00114369,0.00114369
4,49.5456,2.05328,3.32511,2.17784,0.17473,0.28995,0.18266,0.07168,1.95776,2.74299,2.06978,0.00100459,0.00100459,0.00100459
5,61.1428,1.97921,3.16741,2.09586,0.22311,0.19626,0.1674,0.06991,1.94873,2.75552,2.00433,0.000863116,0.000863116,0.000863116
6,72.5136,1.90779,2.96188,2.03854,0.25372,0.28243,0.22246,0.09324,1.85588,2.44043,1.89768,0.000721645,0.000721645,0.000721645
7,83.9254,1.7827,2.67472,1.88329,0.273,0.35648,0.27863,0.11735,1.76403,2.42101,1.86844,0.000580174,0.000580174,0.000580174
8,95.3473,1.68101,2.55353,1.79864,0.37868,0.30111,0.31523,0.14886,1.63178,2.22748,1.75707,0.000438703,0.000438703,0.000438703
9,106.679,1.6454,2.44074,1.75595,0.42386,0.37171,0.36578,0.1738,1.55037,2.10686,1.67103,0.000297232,0.000297232,0.000297232
10,118.352,1.57174,2.28092,1.70287,0.50897,0.37098,0.40677,0.19924,1.537,1.9908,1.65376,0.000155761,0.000155761,0.000155761
