epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1117,1.67418,3.38259,1.65207,0.00886,0.65128,0.08476,0.04404,1.61234,3.17941,1.63849,0.000464715,0.000464715,0.000464715
2,17.2428,1.66316,2.94278,1.70614,0.24514,0.09277,0.09325,0.04483,1.79389,3.05537,1.94342,0.000630503,0.000630503,0.000630503
3,23.7888,1.60215,2.65839,1.67796,0.26699,0.33842,0.20614,0.10394,1.59686,2.55759,1.72209,0.00048191,0.00048191,0.00048191
