epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.85052,1.67787,3.25869,1.64694,0.00918,0.66161,0.08929,0.04628,1.55527,3.13705,1.59321,0.000464715,0.000464715,0.000464715
2,14.0442,1.61206,2.79353,1.65794,0.27719,0.22836,0.14652,0.06316,1.76998,2.78727,1.87715,0.000630503,0.000630503,0.000630503
3,19.9206,1.54961,2.53143,1.61789,0.2535,0.29814,0.23095,0.11641,1.60395,2.49514,1.69761,0.00048191,0.00048191,0.00048191
