epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.686,3.56284,4.40568,4.20829,0.00311,0.26147,0.00367,0.00124,3.63195,3.83204,4.13588,0.000464715,0.000464715,0.000464715
2,26.6286,3.52366,4.19415,4.09127,0.00313,0.2459,0.00547,0.00155,3.62788,3.95827,4.08892,0.000630503,0.000630503,0.000630503
3,34.8474,3.30714,4.06024,3.87051,0.00314,0.24273,0.00666,0.00206,3.60783,4.15319,4.19487,0.00048191,0.00048191,0.00048191
